license_plate_object_id,last_seen_frame,bounding_box
object_0,59,"(1008, 352, 105, 38)"
object_1,59,"(975, 394, 150, 45)"
object_2,38,"(5, 5, 119, 41)"
765_393_91_33,0,"(765, 393, 91, 33)"
758_397_107_32,0,"(758, 397, 107, 32)"
48_503_106_36,0,"(48, 503, 106, 36)"
784_483_98_37,1,"(784, 483, 98, 37)"
787_488_93_36,1,"(787, 488, 93, 36)"
-6_630_131_36,1,"(-6, 630, 131, 36)"
215_377_79_30,2,"(215, 377, 79, 30)"
818_602_100_38,2,"(818, 602, 100, 38)"
176_465_104_32,3,"(176, 465, 104, 32)"
209_276_86_35,4,"(209, 276, 86, 35)"
141_575_87_41,4,"(141, 575, 87, 41)"
828_574_84_34,4,"(828, 574, 84, 34)"
178_336_77_31,5,"(178, 336, 77, 31)"
690_414_106_33,5,"(690, 414, 106, 33)"
152_411_82_30,6,"(152, 411, 82, 30)"
708_505_124_35,6,"(708, 505, 124, 35)"
101_502_100_35,7,"(101, 502, 100, 35)"
748_617_122_35,7,"(748, 617, 122, 35)"
750_621_119_33,7,"(750, 621, 119, 33)"
805_485_92_33,8,"(805, 485, 92, 33)"
43_618_113_44,8,"(43, 618, 113, 44)"
838_361_83_35,9,"(838, 361, 83, 35)"
128_545_110_31,9,"(128, 545, 110, 31)"
832_601_101_33,9,"(832, 601, 101, 33)"
856_440_90_36,10,"(856, 440, 90, 36)"
890_544_93_38,11,"(890, 544, 93, 38)"
112_472_111_32,12,"(112, 472, 111, 32)"
117_478_96_30,12,"(117, 478, 96, 30)"
160_326_98_30,13,"(160, 326, 98, 30)"
63_576_105_31,13,"(63, 576, 105, 31)"
804_593_87_42,13,"(804, 593, 87, 42)"
137_378_90_31,14,"(137, 378, 90, 31)"
847_455_101_38,14,"(847, 455, 101, 38)"
106_441_88_34,15,"(106, 441, 88, 34)"
850_561_113_38,15,"(850, 561, 113, 38)"
854_562_116_35,15,"(854, 562, 116, 35)"
194_338_90_30,16,"(194, 338, 90, 30)"
78_518_101_37,16,"(78, 518, 101, 37)"
164_393_93_32,17,"(164, 393, 93, 32)"
48_611_117_43,17,"(48, 611, 117, 43)"
720_119_54_14,18,"(720, 119, 54, 14)"
816_393_82_28,18,"(816, 393, 82, 28)"
138_465_87_31,18,"(138, 465, 87, 31)"
830_455_94_38,19,"(830, 455, 94, 38)"
98_550_104_35,19,"(98, 550, 104, 35)"
853_542_80_37,20,"(853, 542, 80, 37)"
56_649_129_41,20,"(56, 649, 129, 41)"
858_648_118_40,21,"(858, 648, 118, 40)"
793_507_108_33,22,"(793, 507, 108, 33)"
769_284_77_28,23,"(769, 284, 77, 28)"
817_590_119_38,23,"(817, 590, 119, 38)"
823_595_109_35,23,"(823, 595, 109, 35)"
788_330_78_34,24,"(788, 330, 78, 34)"
119_523_95_33,24,"(119, 523, 95, 33)"
799_389_96_36,25,"(799, 389, 96, 36)"
86_616_112_38,25,"(86, 616, 112, 38)"
95_619_92_39,25,"(95, 619, 92, 39)"
142_402_100_28,26,"(142, 402, 100, 28)"
814_459_92_34,26,"(814, 459, 92, 34)"
804_324_83_30,27,"(804, 324, 83, 30)"
95_481_105_32,27,"(95, 481, 105, 32)"
827_547_95_38,27,"(827, 547, 95, 38)"
805_380_99_34,28,"(805, 380, 99, 34)"
817_381_72_36,28,"(817, 381, 72, 36)"
43_570_111_36,28,"(43, 570, 111, 36)"
824_652_135_36,28,"(824, 652, 135, 36)"
826_450_86_34,29,"(826, 450, 86, 34)"
729_297_87_25,30,"(729, 297, 87, 25)"
837_535_111_35,30,"(837, 535, 111, 35)"
116_602_93_34,30,"(116, 602, 93, 34)"
719_351_94_34,31,"(719, 351, 94, 34)"
881_642_95_32,31,"(881, 642, 95, 32)"
713_420_100_29,32,"(713, 420, 100, 29)"
725_503_112_42,33,"(725, 503, 112, 42)"
765_612_103_43,34,"(765, 612, 103, 43)"
755_432_77_31,37,"(755, 432, 77, 31)"
767_509_120_37,38,"(767, 509, 120, 37)"
794_607_135_38,39,"(794, 607, 135, 38)"
728_430_89_33,41,"(728, 430, 89, 33)"
743_510_105_34,42,"(743, 510, 105, 34)"
743_509_115_36,42,"(743, 509, 115, 36)"
780_603_100_36,43,"(780, 603, 100, 36)"
149_403_86_39,45,"(149, 403, 86, 39)"
784_473_94_29,46,"(784, 473, 94, 29)"
105_494_106_37,46,"(105, 494, 106, 37)"
822_542_93_37,47,"(822, 542, 93, 37)"
72_596_88_38,47,"(72, 596, 88, 38)"
838_626_121_39,48,"(838, 626, 121, 39)"
119_603_129_38,52,"(119, 603, 129, 38)"
137_607_88_37,52,"(137, 607, 88, 37)"
181_271_89_28,53,"(181, 271, 89, 28)"
704_107_65_33,54,"(704, 107, 65, 33)"
159_323_94_32,54,"(159, 323, 94, 32)"
135_379_97_32,55,"(135, 379, 97, 32)"
141_386_84_27,55,"(141, 386, 84, 27)"
733_157_71_38,56,"(733, 157, 71, 38)"
108_453_86_33,56,"(108, 453, 86, 33)"
104_455_108_32,56,"(104, 455, 108, 32)"
749_186_73_41,57,"(749, 186, 73, 41)"
69_532_104_34,57,"(69, 532, 104, 34)"
765_228_75_37,58,"(765, 228, 75, 37)"
43_618_104_34,58,"(43, 618, 104, 34)"
771_265_87_46,59,"(771, 265, 87, 46)"
859_657_113_32,59,"(859, 657, 113, 32)"
